sentence	token	start	end	complexity
Подобия огурцов под краями его окружали его по десяти на локоть, окружали море со всех сторон в два ряда; подобия огурцов были вылиты с ним одним литьем.	огурцов	8	15	0.375
Так сказал Господь, Господь Саваоф: ступай, пойди к этому царедворцу, к Севне, начальнику дворца и скажи ему :	дворца	90	96	0.15
(119:2) Господи! избавь душу мою от уст лживых, от языка лукавого.	языка	51	56	0.05
И в длине здания перед площадью на задней стороне ее с боковыми комнатами его по ту и другую сторону он намерил сто локтей, со внутренностью храма и притворами двора.	стороне	42	49	0.15
(4:34) Ныне я, Навуходоносор, славлю, превозношу и величаю Царя Небесного, Которого все дела истинны и пути праведны, и Который силен смирить ходящих гордо.	дела	88	92	0.125
И сказал Гедеон: за это, когда предаст Господь Зевея и Салмана вруки мои, я растерзаю тело ваше терновником пустынным и молотильными зубчатыми досками.	Салмана	55	62	0.625
Что возмущенный источник и поврежденный родник, то праведник, падающий пред нечестивым.	родник	40	46	0.175
(144:17) Праведен Господь во всех путях Своих и благ во всех делах Своих.	благ	48	52	0.125
Так сделал он столбы и два ряда гранатовых яблок вокруг сетки, чтобы покрыть венцы, которые на верху столбов; то же сделал и для другого венца.	яблок	43	48	0.3
но Ты, по великому милосердию Твоему, не оставлял их в пустыне; столп облачный не отходил от них днем, чтобы вести их по пути, и столп огненный – ночью, чтобы светить им на пути, по которому им идти.	пути	173	177	0.175
И, встав рано поутру, пошли на вершину горы, говоря: вот, мы пойдем на то место, о котором сказал Господь, ибо мы согрешили.	место	74	79	0.175
И сказал Зевею и Салману: каковы были те, которых вы убили на Фаворе? Они сказали: они были такие, как ты, каждый имел вид сынов царских.	Салману	17	24	0.475
и повязки ваши будут на головах ваших, и обувь ваша на ногах ваших; не будете сетовать и плакать, но будете истаявать от грехов ваших и воздыхать друг перед другом.	повязки	2	9	0.3
но умрет в том месте, куда отвели его пленным, иболее не увидит земли сей.	пленным	38	45	0.3
так что выносили больных на улицы и полагали на постелях и кроватях, дабы хотя тень проходящего Петра осенила кого из них.	тень	79	83	0.125
только на том условии мы согласимся с вами, если вы будете как мы, чтобы и у вас весь мужеский пол был обрезан;	условии	14	21	0.3
Наконец, братия мои, укрепляйтесь Господом и могуществом силы Его.	силы	57	61	0.125
Тогда Иисус сказал Ахану: сын мой! воздай славу Господу, Богу Израилеву и сделай пред Ним исповедание и объяви мне, что ты сделал; не скрой от меня.	исповедание	90	101	0.475
И сказал им Аарон: выньте золотые серьги, которые в ушах ваших жен, ваших сыновей и ваших дочерей, и принесите ко мне.	серьги	34	40	0.15
Вирсавия пошла к царю в спальню; царь был очень стар, и Ависага Сунамитянка прислуживала царю;	спальню	24	31	0.175
Иисус спросил его: как тебе имя? Он сказал: легион, – потому что много бесов вошло в него.	легион	44	50	0.35
я томился днем от жара, а ночью от стужи, и сон мой убегал от глаз моих.	жара	18	22	0.05
И содержание его, содержание постоянное, выдаваемо было ему от царя изо дня в день до дня смерти его, во все дни жизни его.	содержание	18	28	0.325
И сказал Господь Моисею: собери Мне семьдесят мужей из старейшин Израилевых, которых ты знаешь, что они старейшины и надзиратели его, и возьми их к скинии собрания, чтобы они стали там с тобою;	мужей	46	51	0.25
да не пощадит его глаз твой: душу за душу, глаз за глаз, зуб за зуб, руку за руку, ногу за ногу.	глаз	18	22	0.175
И вот, проходившие мимо люди увидели тело, брошенное на дороге, и льва, стоящего подле тела, и пошли и рассказали в городе, в котором жил пророк-старец.	люди	24	28	0.025
И будет для меня Иерусалим радостным именем, похвалою и честью пред всеми народами земли, которые услышат о всех благах, какие Я сделаю ему, и изумятся и затрепещут от всех благодеяний и всего благоденствия, которое Я доставлю ему.	благоденствия	193	206	0.45
Так говорит Господь Саваоф: толстые стены Вавилона до основания будут разрушены, и высокие ворота его будут сожжены огнем; итак напрасно трудились народы, и племена мучили себя для огня.	Вавилона	42	50	0.275
Когда строился храм, на строение употребляемы были обтесанные камни; ни молота, ни тесла, ни всякого другого железного орудия не было слышно в храме при строении его.	орудия	119	125	0.1
В первый же день недели, очень рано, неся приготовленные ароматы, пришли они ко гробу, и вместе с ними некоторые другие;	недели	17	23	0.125
Разве ты не знаешь? разве ты не слышал, что вечный Господь Бог, сотворивший концы земли, не утомляется и не изнемогает? разум Его неисследим.	концы	76	81	0.525
(5:5) Не дозволяй устам твоим вводить в грех плоть твою, и не говори пред Ангелом Божиим : „это – ошибка!' Для чего тебе делать , чтобы Бог прогневался на слово твое и разрушил дело рук твоих?	дело	177	181	0.125
И прилепилась душа его в Дине, дочери Иакова, и он полюбил девицу и говорил по сердцу девицы.	Дине	25	29	0.325
И будет поступать царь тот по своему произволу, и вознесется и возвеличится выше всякого божества, и о Боге богов станет говорить хульное и будет иметь успех, доколе не совершится гнев: ибо, что предопределено, то исполнится.	божества	89	97	0.15
Так как они сеяли ветер, то и пожнут бурю: хлеба на корню не будет у него; зерно не даст муки; а если и даст, то чужие проглотят ее.	муки	89	93	0.175
по числу сорока дней, в которые вы осматривали землю, вы понесете наказание за грехи ваши сорок лет, год за день, дабы вы познали, что значит быть оставленным Мною.	грехи	79	84	0.125
Сынов Иссахара по родам их, по племенам их, по семействам их, по числу имен, от двадцати лет и выше, всех годных для войны,	имен	71	75	0.225
Вороные кони там выходят к стране северной и белые идут за ними, а пегие идут к стране полуденной.	стране	27	33	0.175
Изгонят вас из синагог; даже наступает время, когда всякий, убивающий вас, будет думать, что он тем служит Богу.	время	39	44	0.125
засохла виноградная лоза и смоковница завяла; гранатовое дерево, пальма и яблоня, все дерева в поле посохли;потому и веселье у сынов человеческих исчезло.	лоза	20	24	0.15
от половины колена Манассиина – Анер и предместья его, Билеам и предместья его. Это поколению остальных сыновей Каафовых.	предместья	39	49	0.5
Каждый раз, когда зачинал скот крепкий, Иаков клал прутья в корытах пред глазами скота, чтобы он зачинал пред прутьями.	прутьями	110	118	0.35
Полагал ли я в золоте опору мою и говорил ли сокровищу: ты – надежда моя?	опору	22	27	0.25
в рост дает, и берет лихву; то будет ли он жив? Нет, он не будет жив. Кто делает все такие мерзости, тот непременно умрет, кровь его будет на нем.	рост	2	6	0.175
Сыновья Мерарины: Махли и Муши. Сыновья Махлия: Елеазар и Кис.	Сыновья	32	39	0.075
И приказал Давид слугам, и убили их, и отрубили им руки и ноги, и повесили их над прудом в Хевроне. А голову Иевосфея взяли и погребли во гробе Авенира, в Хевроне.	голову	102	108	0.1
Подобно и Раав блудница не делами ли оправдалась,приняв соглядатаев и отпустив их другим путем?	делами	27	33	0.15
Вот, Бог велик, и мы не можем познать Его; число лет Его неисследимо.	лет	49	52	0.075
И послал начальствующий над домом царским , и градоначальник, и старейшины, и воспитатели к Ииую, сказать: мы рабы твои, и что скажешь нам, то и сделаем; мы никого не поставим царем, что угодно тебе, то и делай.	градоначальник	46	60	0.35
и изыдут творившие добро в воскресение жизни, а делавшие зло – в воскресение осуждения.	осуждения	77	86	0.3
у нас такие же тела, какие тела у братьев наших, и сыновья наши такие же, как их сыновья; а вот, мы должны отдавать сыновей наших и дочерей наших в рабы, и некоторые из дочерей наших уже находятся в порабощении. Нет никаких средств для выкупа в руках наших; и поля наши и виноградники наши у других.	средств	224	231	0.275
Тогда Иеремия сказал Седекии: так говорит Господь Бог Саваоф, Бог Израилев: если ты выйдешь к князьям царя Вавилонского, то жива будет душа твоя, и этот город не будет сожжен огнем, и ты будешь жив, и дом твой;	город	153	158	0.1
Для глупого преступное деяние как бы забава, а человеку разумному свойственна мудрость.	человеку	47	55	0.075
Он воевал с царем Аммонитян и одолел их, и дали ему Аммонитяне в тот год сто талантов серебра и десять тысяч коров пшеницы и ячменя десять тысяч. Это давали ему Аммонитяне и на другой год, и на третий.	год	184	187	0.075
да и близкие к ним, даже до колена Иссахарова, Завулонова и Неффалимова, привозили все съестное на ослах, и верблюдах, и мулах, и волах: муку, смоквы, и изюм, и вино, и елей, и крупного и мелкого скота множество, так как радость была для Израиля.	изюм	153	157	0.05
Притчи Соломона. Сын мудрый радует отца, а сын глупый – огорчение для его матери.	огорчение	56	65	0.15
а для покупки пищи мы принесли другое серебро в руках наших, мы незнаем, кто положил серебро наше в мешки наши.	покупки	6	13	0.175
При окончании же поприща своего, Иоанн говорил: за кого почитаете вы меня? я не тот; но вот, идет за мною, у Которого я недостоин развязать обувь на ногах.	окончании	4	13	0.3
Все столбы вокруг двора должны быть соединены связями из серебра; крючки у них из серебра, а подножия к ним из меди.	связями	46	53	0.4
пусть он живет в этом городе, доколе не предстанет пред общество на суд, доколе не умрет великий священник, который будет в те дни. А потом пусть возвратится убийца и пойдет в город свой и в дом свой, в город, из которого он убежал.	город	176	181	0.175
Наготы дочери сына твоего или дочери дочери твоей, не открывай наготы их, ибо они твоя нагота.	наготы	63	69	0.35
Поразит тебя Господь чахлостью, горячкою, лихорадкою, воспалением, засухою, палящим ветром и ржавчиною, и они будут преследовать тебя, доколе не погибнешь.	воспалением	54	65	0.15
а найдя, созовет подруг и соседок и скажет: порадуйтесь со мною: я нашла потерянную драхму.	соседок	26	33	0.175
И Мааху, мать свою, царь Аса лишил царского достоинства за то, что она сделала истукан для дубравы. И ниспроверг Аса истукан ее,и изрубил в куски, и сжег на долине Кедрона.	достоинства	44	55	0.125
опять будет слышен голос радости и голос веселья, голос жениха и голос невесты, голос говорящих: „славьте Господа Саваофа, ибо благ Господь, ибо вовек милость Его', и голос приносящих жертву благодарения в доме Господнем; ибо Я возвращу плененных сей земли в прежнее состояние, говорит Господь.	состояние	267	276	0.125
Я накажу мир за зло, и нечестивых – за беззакония их, и положу конец высокоумию гордых, и уничижу надменность притеснителей;	мир	9	12	0.15
Рувим, Симеон, Левий и Иуда,	Симеон	7	13	0.375
Войдешь во гроб в зрелости, как укладываются снопы пшеницы в свое время.	зрелости	18	26	0.25
потому что, как сбивание молока производит масло, толчок в нос производит кровь, так и возбуждение гнева производит ссору.	толчок	50	56	0.3
Сидевшие в засаде тотчас встали с места своего и побежали, как скоро он простер руку свою, вошли в город и взяли его и тотчас зажгли город огнем.	огнем	139	144	0.125
Скажи: так говорит Господь: и будут повержены трупы людей, как навоз на поле и как снопы позади жнеца, и некому будет собрать их.	снопы	83	88	0.3
Некоторые же вознегодовали и говорили между собою: к чему сия трата мира?	трата	62	67	0.175
от Которого именуется всякое отечество на небесах и на земле,	отечество	29	38	0.175
О смехе сказал я: „глупость!', а о веселье: „что оно делает?'	смехе	2	7	0.2
И видел я в деснице у Сидящего на престоле книгу, написанную внутри и отвне, запечатанную семью печатями.	семью	90	95	0.075
И встал Давид, и пошел к месту, на котором Саул расположился станом, и увидел Давид место, где спал Саул и Авенир, сын Ниров, военачальник его. Саул же спал в шатре, а народ расположился вокруг него.	место	84	89	0.025
потому что многократно был он скован оковами и цепями, но разрывал цепи и разбивал оковы, и никто не в силах был укротить его;	оковы	83	88	0.075
и выселил весь Иерусалим, и всех князей, и все храброе войско, – десять тысяч было переселенных, – и всех плотников и кузнецов; никого не осталось, кроме бедного народа земли.	кузнецов	118	126	0.075
(75:3) И было в Салиме жилище Его и пребывание Его на Сионе.	пребывание	36	46	0.075
Была у Иерахмеила и другая жена, имя ее Афара; она мать Онама.	жена	27	31	0.025
Со смертью человека нечестивого исчезает надежда, и ожидание беззаконных погибает.	ожидание	52	60	0.25
И сделал десять столов и поставил в храме, пять по правую сторону и пять по левую, и сделал сто золотых чаш.	столов	16	22	0.125
Но, как написано: не видел того глаз, не слышало ухо, и не приходило то на сердце человеку, что приготовил Бог любящим Его.	глаз	32	36	0.15
(18:1) Начальнику хора. Псалом Давида.(18-2) Небеса проповедуют славу Божию, и о делах рук Его вещает твердь.	твердь	102	108	0.55
И вышел Аод в преддверие, и затворил за собою двери горницы, и замкнул.	преддверие	14	24	0.475
От основания, что в земле, до нижнего выступа два локтя, а шириною он в один локоть; от малого выступа до большого выступа четыре локтя, а ширина его – в один локоть.	ширина	139	145	0.025
детей их, оставшихся после них на земле, которых сыны Израилевы не могли истребить, Соломон сделал оброчными работниками до сего дня.	работниками	109	120	0.075
Они торговали с тобою драгоценными одеждами, шелковыми и узорчатыми материями, которые они привозили на твои рынки в дорогих ящиках, сделанных из кедра и хорошо упакованных.	рынки	109	114	0.15
Вы - свет мира. Не может укрыться город, стоящий на верху горы.	мира	10	14	0.1
увидел также и бедную вдову, положившую туда две лепты,	лепты	49	54	0.625
Мне теперь восемьдесят лет; различу ли хорошее от худого? Узнает ли раб твой вкус в том, что буду есть, и в том, что буду пить? И буду ли в состоянии слышать голос певцов и певиц? Зачем же рабу твоему быть в тягость господину моему царю?	певцов	164	170	0.1
Желаю, братия, чтобы вы знали, что обстоятельства мои послужили к большему успеху благовествования,	обстоятельства	35	49	0.2
Если найдется среди тебя в каком-либо из жилищ твоих, которые Господь, Бог твой, дает тебе, мужчина или женщина, кто сделает зло пред очами Господа, Бога твоего, преступив завет Его,	мужчина	92	99	0.05
Иисус отвечал ему: Я говорил явно миру; Я всегда учил в синагоге и в храме, где всегда Иудеи сходятся, и тайно не говорил ничего.	миру	34	38	0.225
Дни мои бегут скорее челнока и кончаются без надежды.	челнока	21	28	0.4
Слова наушника – как лакомства, и они входят во внутренность чрева.	чрева	61	66	0.525
Прозябает трава, и является зелень, и собирают горные травы.	зелень	28	34	0.175
Невестка его, жена Финеесова, была беременна уже пред родами. И когда услышала она известие о взятии ковчега Божия и о смерти свекра своегои мужа своего, то упала на колени и родила, ибо приступили к ней боли ее.	известие	83	91	0.25
Учение мудрого – источник жизни, удаляющий от сетей смерти.	смерти	52	58	0.175
Илий же был весьма стар и слышал все, как поступают сыновья его со всеми Израильтянами, и что они спят с женщинами, собиравшимися у входа в скинию собрания.	женщинами	105	114	0.1
потолки наши – кипарисы.	кипарисы	15	23	0.45
И окна в них и в преддвериях их такие же, как те окна: длина пятьдесят локтей, а ширины двадцать пять локтей.	преддвериях	17	28	0.45
Прочие деяния Езекии и добродетели его описаны в видении Исаии,сына Амосова, пророка, и в книге царей Иудейских и Израильских.	пророка	77	84	0.25
придут корабли от Киттима, и смирят Ассура, и смирят Евера; но и им гибель!	гибель	68	74	0.075
Однако же народ многочислен и время теперь дождливое, и нет возможности стоять на улице. Да и это дело не одного дня и не двух, потому что мы много в этом деле погрешили.	улице	82	87	0.025
Там пробыл он три месяца. Когда же, по случаю возмущения, сделанного против него Иудеями, он хотел отправиться в Сирию, то пришло ему на мысль возвратиться через Македонию.	случаю	39	45	0.075
в то самое время Господь сказал Исаии, сыну Амосову, так: пойди и сними вретище с чресл твоих и сбрось сандалии твои с ног твоих. Он так и сделал: ходил нагой и босой.	сандалии	103	111	0.15
и две двери из кипарисового дерева; обе половинки одной двери были подвижные, и обе половинки другой двери были подвижные.	половинки	40	49	0.1
Тогда возопили сыны Израилевы к Господу, и Господь воздвигнул им спасителя Аода, сына Геры, сына Иеминиева, который был левша. И послали сыны Израилевы с ним дары Еглону, царю Моавитскому.	дары	158	162	0.175
здесь есть у одного мальчика пять хлебов ячменных и две рыбки; но что это для такого множества?	мальчика	20	28	0.075
И только один я, Даниил, видел это видение, а бывшие со мною люди не видели этого видения; но сильный страх напал на них и они убежали, чтобы скрыться.	видения	82	89	0.325
Когда распространит Господь, Бог твой, пределы твои, как Он говорил тебе, и ты скажешь: „поем я мяса', потому что душа твоя пожелает есть мяса, – тогда, по желанию души твоей, ешь мясо.	мяса	138	142	0.15
другого агнца приноси вечером: с мучным даром,подобным утреннему, и с таким же возлиянием приноси его в благоухание приятное, в жертву Господу.	вечером	22	29	0.075
и нашел я, что горче смерти женщина, потому что она – сеть, и сердце ее – силки, руки ее – оковы; добрый пред Богом спасется от нее, а грешник уловлен будет ею.	женщина	28	35	0.1
ибо такие люди служат не Господу нашему Иисусу Христу, а своему чреву, и ласкательством и красноречием обольщают сердца простодушных.	красноречием	90	102	0.225
ибо такова есть воля Божия, чтобы мы, делая добро, заграждали уста невежеству безумных людей, –	невежеству	67	77	0.275
но молодое вино должно вливать в мехи новые; тогда сбережется и то и другое.	мехи	33	37	0.7
(35:7) Правда Твоя, как горы Божии, и судьбы Твои - бездна великая! Человеков и скотов хранишь Ты, Господи!	судьбы	38	44	0.275
И вот, рука предающего Меня со Мною за столом;	столом	39	45	0.1
Все соделал Он прекрасным в свое время, и вложил мир в сердце их, хотя человек не может постигнуть дел, которые Бог делает, от начала до конца.	конца	137	142	0.125
Сделай к нему горшки для высыпания в них пепла, и лопатки, и чаши, и вилки, и угольницы; все принадлежности сделай из меди.	горшки	14	20	0.125
если же хозяин его был при нем, то не должен платить; если он взят был в наймы за деньги,то пусть и пойдет за ту цену.	цену	113	117	0.175
итак пусть господин мой, царь, не тревожится мыслью о том, будто умерли все царские сыновья: умер один только Амнон.	мыслью	45	51	0.125
И многие из спящих в прахе земли пробудятся, одни для жизни вечной, другие на вечное поругание и посрамление.	жизни	54	59	0.125
у всех же сынов Израилевых ни на человека, ни на скот не пошевелит пес языком своим, дабы вы знали, какое различие делает Господь между Египтянами и между Израильтянами.	человека	33	41	0.05
В тридцать первый год Асы, царя Иудейского, воцарился Амврий над Израилем и царствовал двенадцать лет. В Фирце он царствовал шесть лет.	лет	98	101	0.05
то возьми шило и проколи ухо его к двери; и будет он рабом твоим на век. Так поступай и с рабою твоею.	шило	10	14	0.225
итак, если вы будете слушаться гласа Моего и соблюдать завет Мой,то будете Моим уделом из всех народов, ибо Моя вся земля,	уделом	80	86	0.425
и пусть съедят Аарон и сыны его мясо овна сего из корзины, у дверей скинии собрания,	корзины	50	57	0.1
Я услышал, и вострепетала внутренность моя; при вести о сем задрожали губы мои, боль проникла в кости мои, и колеблется место подо мною; а я должен быть спокоен в день бедствия, когда придет на народ мой грабитель его.	губы	70	74	0.1
и от посевов ваших и из виноградных садов ваших возьмет десятую часть и отдаст евнухам своим и слугам своим;	евнухам	79	86	0.525
И мы свидетели всего, что сделал Он в стране Иудейской и в Иерусалиме, и что наконец Его убили, повесив на древе.	древе	107	112	0.35
Я снова устрою тебя, и ты будешь устроена, дева Израилева, снова будешь украшаться тимпанами твоими и выходить в хороводе веселящихся;	дева	43	47	0.225
И сказал царь Семею: ты знаешь и знает сердце твое все зло, какое ты сделал отцу моему Давиду; да обратит же Господь злобу твою на голову твою!	зло	55	58	0.025
И, не изнемогши в вере, он не помышлял, что тело его, почти столетнего, уже омертвело, и утроба Саррина в омертвении;	тело	44	48	0.025
Вот главные приставники над работами Соломоновыми: управлявших народом, который производил работы, было пятьсот пятьдесят.	работами	28	36	0.075
щиплют зелень подле кустов, и ягоды можжевельника – хлеб их.	можжевельника	36	49	0.25
Ибо то самое, что вы опечалились ради Бога, смотрите, какое произвело в вас усердие, какие извинения, какое негодование на виновного , какой страх, какое желание, какую ревность, какое взыскание! По всему вы показали себя чистыми в этом деле.	извинения	91	100	0.025
