	Russian	Arabic	Target
53	но умрет в том месте, куда отвели его пленным, иболее не увидит земли сей.	بل في الموضع الذي سبوه اليه يموت وهذه الارض لا يراها بعد	пленным
54	так что выносили больных на улицы и полагали на постелях и кроватях, дабы хотя тень проходящего Петра осенила кого из них.	‎حتى انهم كانوا يحملون المرضى خارجا في الشوارع ويضعونهم على فرش واسرّة حتى اذا جاء بطرس يخيّم ولو ظله على احد منهم‎.	тень
55	только на том условии мы согласимся с вами, если вы будете как мы, чтобы и у вас весь мужеский пол был обрезан;	غير اننا بهذا نواتيكم. ان صرتم مثلنا بختنكم كل ذكر	условии
56	Наконец, братия мои, укрепляйтесь Господом и могуществом силы Его.	اخيرا يا اخوتي تقووا في الرب وفي شدة قوته.	силы
57	Тогда Иисус сказал Ахану: сын мой! воздай славу Господу, Богу Израилеву и сделай пред Ним исповедание и объяви мне, что ты сделал; не скрой от меня.	فقال يشوع لعخان يا ابني اعط الآن مجدا للرب اله اسرائيل واعترف له واخبرني الآن ماذا عملت لا تخف عني.	исповедание
58	И сказал им Аарон: выньте золотые серьги, которые в ушах ваших жен, ваших сыновей и ваших дочерей, и принесите ко мне.	فقال لهم هرون انزعوا اقراط الذهب التي في آذان نسائكم وبنيكم وبناتكم وأتوني بها.	серьги
59	Вирсавия пошла к царю в спальню; царь был очень стар, и Ависага Сунамитянка прислуживала царю;	فدخلت بثشبع الى الملك الى المخدع. وكان الملك قد شاخ جدا وكانت ابيشج الشونمية تخدم الملك.	спальню
60	Иисус спросил его: как тебе имя? Он сказал: легион, – потому что много бесов вошло в него.	فسأله يسوع قائلا ما اسمك. فقال لجئون. لان شياطين كثيرة دخلت فيه.	легион
61	я томился днем от жара, а ночью от стужи, и сон мой убегал от глаз моих.	كنت في النهار يأكلني الحرّ وفي الليل الجليد. وطار نومي من عينيّ.	жара
62	И содержание его, содержание постоянное, выдаваемо было ему от царя изо дня в день до дня смерти его, во все дни жизни его.	ووظيفته وظيفة دائمة تعطى له من عند ملك بابل امر كل يوم بيومه الى يوم وفاته كل ايام حياته	содержание
63	И сказал Господь Моисею: собери Мне семьдесят мужей из старейшин Израилевых, которых ты знаешь, что они старейшины и надзиратели его, и возьми их к скинии собрания, чтобы они стали там с тобою;	فقال الرب لموسى اجمع اليّ سبعين رجلا من شيوخ اسرائيل الذين تعلم انهم شيوخ الشعب وعرفاؤه واقبل بهم الى خيمة الاجتماع فيقفوا هناك معك.	мужей
64	да не пощадит его глаз твой: душу за душу, глаз за глаз, зуб за зуб, руку за руку, ногу за ногу.	لا تشفق عينك. نفس بنفس. عين بعين. سن بسن. يد بيد. رجل برجل	глаз
65	И вот, проходившие мимо люди увидели тело, брошенное на дороге, и льва, стоящего подле тела, и пошли и рассказали в городе, в котором жил пророк-старец.	واذا بقوم يعبرون فرأوا الجثّة مطروحة في الطريق والاسد واقف بجانب الجثّة. فأتوا واخبروا في المدينة التي كان النبي الشيخ ساكنا بها.	люди
66	И будет для меня Иерусалим радостным именем, похвалою и честью пред всеми народами земли, которые услышат о всех благах, какие Я сделаю ему, и изумятся и затрепещут от всех благодеяний и всего благоденствия, которое Я доставлю ему.	فتكون لي اسم فرح للتسبيح وللزينة لدى كل امم الارض الذين يسمعون بكل الخير الذي اصنعه معهم فيخافون ويرتعدون من اجل كل الخير ومن اجل كل السلام الذي اصنعه لها.	благоденствия
67	Так говорит Господь Саваоф: толстые стены Вавилона до основания будут разрушены, и высокие ворота его будут сожжены огнем; итак напрасно трудились народы, и племена мучили себя для огня.	هكذا قال رب الجنود ان اسوار بابل العريضة تدمر تدميرا وابوابها الشامخة تحرق بالنار فتتعب الشعوب للباطل والقبائل للنار حتى تعيا	Вавилона
68	Когда строился храм, на строение употребляемы были обтесанные камни; ни молота, ни тесла, ни всякого другого железного орудия не было слышно в храме при строении его.	والبيت في بنائه بني بحجارة صحيحة مقتلعة ولم يسمع في البيت عند بنائه منحت ولا معول ولا اداة من حديد.	орудия
69	В первый же день недели, очень рано, неся приготовленные ароматы, пришли они ко гробу, и вместе с ними некоторые другие;	ثم في اول الاسبوع اول الفجر أتين الى القبر حاملات الحنوط الذي أعددنه ومعهنّ اناس.	недели
70	Разве ты не знаешь? разве ты не слышал, что вечный Господь Бог, сотворивший концы земли, не утомляется и не изнемогает? разум Его неисследим.	أما عرفت ام لم تسمع. اله الدهر الرب خالق اطراف الارض لا يكل ولا يعيا ليس عن فهمه فحص.	концы
71	(5:5) Не дозволяй устам твоим вводить в грех плоть твою, и не говори пред Ангелом Божиим : „это – ошибка!' Для чего тебе делать , чтобы Бог прогневался на слово твое и разрушил дело рук твоих?	لا تدع فمك يجعل جسدك يخطئ. ولا تقل قدام الملاك انه سهو. لماذا يغضب الله على قولك ويفسد عمل يديك.	дело
72	И прилепилась душа его в Дине, дочери Иакова, и он полюбил девицу и говорил по сердцу девицы.	وتعلقت نفسه بدينة ابنة يعقوب واحب الفتاة ولاطف الفتاة.	Дине
73	И будет поступать царь тот по своему произволу, и вознесется и возвеличится выше всякого божества, и о Боге богов станет говорить хульное и будет иметь успех, доколе не совершится гнев: ибо, что предопределено, то исполнится.	ويفعل الملك كارادته ويرتفع ويتعظم على كل اله ويتكلم بامور عجيبة على اله الآلهة وينجح الى اتمام الغضب لان المقضي به يجرى.	божества
74	Так как они сеяли ветер, то и пожнут бурю: хлеба на корню не будет у него; зерно не даст муки; а если и даст, то чужие проглотят ее.	انهم يزرعون الريح ويحصدون الزوبعة. زرع ليس له غلّة لا يصنع دقيقا. وان صنع فالغرباء تبتلعه.	муки
75	по числу сорока дней, в которые вы осматривали землю, вы понесете наказание за грехи ваши сорок лет, год за день, дабы вы познали, что значит быть оставленным Мною.	كعدد الايام التي تجسّستم فيها الارض اربعين يوما للسنة يوم تحملون ذنوبكم اربعين سنة فتعرفون ابتعادي.	грехи
76	Сынов Иссахара по родам их, по племенам их, по семействам их, по числу имен, от двадцати лет и выше, всех годных для войны,	بنو يسّاكر تواليدهم حسب عشائرهم وبيوت آبائهم بعدد الاسماء من ابن عشرين سنة فصاعدا كل خارج للحرب	имен
77	Вороные кони там выходят к стране северной и белые идут за ними, а пегие идут к стране полуденной.	التي فيها الخيل الدهم تخرج الى ارض الشمال والشّهب خارجة وراءها والمنمّرة تخرج نحو ارض الجنوب.	стране
78	Изгонят вас из синагог; даже наступает время, когда всякий, убивающий вас, будет думать, что он тем служит Богу.	سيخرجونكم من المجامع بل تأتي ساعة فيها يظن كل من يقتلكم انه يقدم خدمة لله.	время
79	засохла виноградная лоза и смоковница завяла; гранатовое дерево, пальма и яблоня, все дерева в поле посохли;потому и веселье у сынов человеческих исчезло.	الجفنة يبست والتينة ذبلت. الرمانة والنخلة والتفاحة كل اشجار الحقل يبست. انه قد يبست البهجة من بني البشر	лоза
80	от половины колена Манассиина – Анер и предместья его, Билеам и предместья его. Это поколению остальных сыновей Каафовых.	ومن نصف سبط منسّى عانير ومسارحها وبلعام ومسارحها لعشيرة بني قهات الباقين.	предместья
81	Каждый раз, когда зачинал скот крепкий, Иаков клал прутья в корытах пред глазами скота, чтобы он зачинал пред прутьями.	وحدث كلما توحّمت الغنم القوية ان يعقوب وضع القضبان امام عيون الغنم في الاجران. لتتوحّم بين القضبان.	прутьями
82	Полагал ли я в золоте опору мою и говорил ли сокровищу: ты – надежда моя?	ان كنت قد جعلت الذهب عمدتي او قلت للابريز انت متكلي.	опору
83	в рост дает, и берет лихву; то будет ли он жив? Нет, он не будет жив. Кто делает все такие мерзости, тот непременно умрет, кровь его будет на нем.	واعطى بالربا واخذ المرابحة أفيحيا. لا يحيا. قد عمل كل هذه الرجاسات فموتا يموت. دمه يكون على نفسه	рост
84	Сыновья Мерарины: Махли и Муши. Сыновья Махлия: Елеазар и Кис.	ابنا مراري محلي وموشى. ابنا محلي العازار وقيس.	Сыновья
85	И приказал Давид слугам, и убили их, и отрубили им руки и ноги, и повесили их над прудом в Хевроне. А голову Иевосфея взяли и погребли во гробе Авенира, в Хевроне.	وأمر داود الغلمان فقتلوهما وقطعوا ايديهما وارجلهما وعلقوهما على البركة في حبرون. واما راس ايشبوشث فأخذوه ودفنوه في قبر ابنير في حبرون	голову
86	Подобно и Раав блудница не делами ли оправдалась,приняв соглядатаев и отпустив их другим путем?	كذلك راحاب الزانية ايضا أما تبررت بالاعمال اذ قبلت الرسل واخرجتهم في طريق آخر.	делами
87	Вот, Бог велик, и мы не можем познать Его; число лет Его неисследимо.	هوذا الله عظيم ولا نعرفه وعدد سنيه لا يفحص.	лет
88	И послал начальствующий над домом царским , и градоначальник, и старейшины, и воспитатели к Ииую, сказать: мы рабы твои, и что скажешь нам, то и сделаем; мы никого не поставим царем, что угодно тебе, то и делай.	فارسل الذي على البيت والذي على المدينة والشيوخ والمربّون الى ياهو قائلين عبيدك نحن وكل ما قلت لنا نفعله. لا نملّك احدا. ما يحسن في عينيك فافعله.	градоначальник
89	и изыдут творившие добро в воскресение жизни, а делавшие зло – в воскресение осуждения.	فيخرج الذين فعلوا الصالحات الى قيامة الحياة والذين عملوا السيّآت الى قيامة الدينونة.	осуждения
90	у нас такие же тела, какие тела у братьев наших, и сыновья наши такие же, как их сыновья; а вот, мы должны отдавать сыновей наших и дочерей наших в рабы, и некоторые из дочерей наших уже находятся в порабощении. Нет никаких средств для выкупа в руках наших; и поля наши и виноградники наши у других.	والآن لحمنا كلحم اخوتنا وبنونا كبنيهم وها نحن نخضع بنينا وبناتنا عبيدا ويوجد من بناتنا مستعبدات وليس شيء في طاقة يدنا وحقولنا وكرومنا للآخرين	средств
91	Тогда Иеремия сказал Седекии: так говорит Господь Бог Саваоф, Бог Израилев: если ты выйдешь к князьям царя Вавилонского, то жива будет душа твоя, и этот город не будет сожжен огнем, и ты будешь жив, и дом твой;	فقال ارميا لصدقيا هكذا قال الرب اله الجنود اله اسرائيل. ان كنت تخرج خروجا الى رؤساء ملك بابل تحيا نفسك ولا تحرق هذه المدينة بالنار بل تحيا انت وبيتك.	город
92	Для глупого преступное деяние как бы забава, а человеку разумному свойственна мудрость.	فعل الرذيلة عند الجاهل كالضحك. اما الحكمة فلذي فهم.	человеку
93	Он воевал с царем Аммонитян и одолел их, и дали ему Аммонитяне в тот год сто талантов серебра и десять тысяч коров пшеницы и ячменя десять тысяч. Это давали ему Аммонитяне и на другой год, и на третий.	وهو حارب ملك بني عمون وقوي عليهم فاعطاه بنو عمون في تلك السنة مئة وزنة من الفضة وعشرة آلاف كرّ قمح وعشرة آلاف من الشعير. هذا ما ادّاه له بنو عمون وكذلك في السنة الثانية والثالثة.	год
94	да и близкие к ним, даже до колена Иссахарова, Завулонова и Неффалимова, привозили все съестное на ослах, и верблюдах, и мулах, и волах: муку, смоквы, и изюм, и вино, и елей, и крупного и мелкого скота множество, так как радость была для Израиля.	وكذلك القريبون منهم حتى يساكر وزبولون ونفتالي كانوا ياتون بخبز على الحمير والجمال والبغال والبقر وبطعام من دقيق وتين وزبيب وخمر وزيت وبقر وغنم بكثرة لانه كان فرح في اسرائيل	изюм
95	Притчи Соломона. Сын мудрый радует отца, а сын глупый – огорчение для его матери.	امثال سليمان-الابن الحكيم يسرّ اباه والابن الجاهل حزن امه.	огорчение
96	а для покупки пищи мы принесли другое серебро в руках наших, мы незнаем, кто положил серебро наше в мешки наши.	وانزلنا فضة اخرى في ايادينا لنشتري طعاما. لا نعلم من وضع فضتنا في عدالنا	покупки
97	При окончании же поприща своего, Иоанн говорил: за кого почитаете вы меня? я не тот; но вот, идет за мною, у Которого я недостоин развязать обувь на ногах.	ولما صار يوحنا يكمل سعيه جعل يقول من تظنون اني انا. لست انا اياه لكن هوذا يأتي بعدي الذي لست مستحقا ان احل حذاء قدميه	окончании
98	Все столбы вокруг двора должны быть соединены связями из серебра; крючки у них из серебра, а подножия к ним из меди.	لكل اعمدة الدار حواليها قضبان من فضة. رززها من فضة وقواعدها من نحاس.	связями
99	пусть он живет в этом городе, доколе не предстанет пред общество на суд, доколе не умрет великий священник, который будет в те дни. А потом пусть возвратится убийца и пойдет в город свой и в дом свой, в город, из которого он убежал.	ويسكن في تلك المدينة حتى يقف امام الجماعة للقضاء الى ان يموت الكاهن العظيم الذي يكون في تلك الايام. حينئذ يرجع القاتل ويأتي الى مدينته وبيته الى المدينة التي هرب منها.	город
100	Наготы дочери сына твоего или дочери дочери твоей, не открывай наготы их, ибо они твоя нагота.	عورة ابنة ابنك او ابنة بنتك لا تكشف عورتها. انها عورتك.	наготы
101	Поразит тебя Господь чахлостью, горячкою, лихорадкою, воспалением, засухою, палящим ветром и ржавчиною, и они будут преследовать тебя, доколе не погибнешь.	يضربك الرب بالسل والحمى والبرداء والالتهاب والجفاف واللفح والذبول فتتبعك حتى تفنيك.	воспалением
102	а найдя, созовет подруг и соседок и скажет: порадуйтесь со мною: я нашла потерянную драхму.	واذا وجدته تدعو الصديقات والجارات قائلة افرحن معي لاني وجدت الدرهم الذي اضعته.	соседок
103	И Мааху, мать свою, царь Аса лишил царского достоинства за то, что она сделала истукан для дубравы. И ниспроверг Аса истукан ее,и изрубил в куски, и сжег на долине Кедрона.	حتى ان معكة ام آسا الملك خلعها من ان تكون ملكة لانها عملت لسارية تمثالا وقطع آسا تمثالها ودقه واحرقه في وادي قدرون.	достоинства
104	опять будет слышен голос радости и голос веселья, голос жениха и голос невесты, голос говорящих: „славьте Господа Саваофа, ибо благ Господь, ибо вовек милость Его', и голос приносящих жертву благодарения в доме Господнем; ибо Я возвращу плененных сей земли в прежнее состояние, говорит Господь.	صوت الطرب وصوت الفرح صوت العريس وصوت العروس صوت القائلين احمدوا رب الجنود لان الرب صالح لان الى الابد رحمته. صوت الذين ياتون بذبيحة الشكر الى بيت الرب لاني ارد سبي الارض كالاول يقول الرب	состояние
105	Я накажу мир за зло, и нечестивых – за беззакония их, и положу конец высокоумию гордых, и уничижу надменность притеснителей;	واعاقب المسكونة على شرها والمنافقين على اثمهم وابطل تعظم المستكبرين واضع تجبر العتاة.	мир
106	Рувим, Симеон, Левий и Иуда,	رأوبين وشمعون ولاوي ويهوذا	Симеон
107	Войдешь во гроб в зрелости, как укладываются снопы пшеницы в свое время.	تدخل المدفن في شيخوخة كرفع الكدس في اوانه.	зрелости
108	потому что, как сбивание молока производит масло, толчок в нос производит кровь, так и возбуждение гнева производит ссору.	لان عصر اللبن يخرج جبنا وعصر الانف يخرج دما وعصر الغضب يخرج خصاما	толчок
